"","IncomeProp","Sex","Married","Co.habitate","Divorced","Widowed","AgeProp","NoHigh","SomeHigh","GradHigh","SomeColl","GradColl","Managerial","Sales","Laborer","Cleric","Homemaker","Student","Military","Retired","LivedProp","Not.Married.Dual","DualIncome","Household","Householdu18","Own","Rent","House","Condo","Apartment","MobileHome","American.Indian","Asian","Black","EastIndian","Hispanic","Pacific.Islander","White","English","Spanish"
"1",75,2,1,0,0,0,49.5,0,0,0,1,0,0,0,0,0,1,0,0,0,12,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"2",75,1,1,0,0,0,49.5,0,0,0,0,1,0,0,0,0,1,0,0,0,12,0,0,5,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"3",75,2,1,0,0,0,29.5,0,0,0,0,1,1,0,0,0,0,0,0,0,12,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"4",5,2,0,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,1,0,0,12,1,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"5",5,2,0,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,1,0,0,5,1,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"6",62.5,1,1,0,0,0,59.5,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"7",5,1,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,8.5,1,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"8",35,1,0,0,1,0,29.5,0,0,0,1,0,0,0,1,0,0,0,0,0,12,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"9",12.5,1,1,0,0,0,59.5,0,0,1,0,0,0,0,0,0,0,0,0,1,12,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"10",22.5,1,1,0,0,0,70,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"11",5,1,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"12",22.5,2,0,1,0,0,21,0,0,1,0,0,0,1,0,0,0,0,0,0,12,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"13",62.5,2,1,0,0,0,29.5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"14",45,2,1,0,0,0,49.5,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"15",22.5,1,0,0,0,1,59.5,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"16",45,2,1,0,0,0,49.5,0,0,0,1,0,1,0,0,0,0,0,0,0,12,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"17",5,2,0,0,1,0,29.5,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"18",75,2,1,0,0,0,49.5,0,0,0,0,1,1,0,0,0,0,0,0,0,12,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"19",62.5,2,1,0,0,0,49.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"20",75,1,0,0,0,0,15.5,0,1,0,0,0,0,0,0,0,0,0,0,0,8.5,1,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"21",12.5,1,0,0,1,0,39.5,0,1,0,0,0,0,0,1,0,0,0,0,0,8.5,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
